method,budget,trial,f1,seconds
ASTRA_AGF,5,13,0.6496373409654222,0.6718111038208008
Coordinate_RF,5,13,0.6498732216648567,0.6679773330688477
EXP010,5,13,0.5679613899781307,0.01850152015686035
EXPF,5,13,0.6163038633623483,0.048752784729003906
ASTRA_AGF,25,13,0.6749870854031261,0.8122496604919434
Coordinate_RF,25,13,0.6780062642490465,0.8546543121337891
EXP010,25,13,0.5995059699386395,0.02414989471435547
EXPF,25,13,0.6432218245382515,0.08139514923095703
ASTRA_AGF,50,13,0.7011540295185644,0.8188714981079102
Coordinate_RF,50,13,0.7141982302908791,0.8649492263793945
EXP010,50,13,0.621673184800438,0.031172990798950195
EXPF,50,13,0.6636104280294002,0.07968473434448242
ASTRA_AGF,100,13,0.7181745574328469,0.9642493724822998
Coordinate_RF,100,13,0.7284299583823637,0.9032557010650635
EXP010,100,13,0.6257315711948807,0.032317161560058594
EXPF,100,13,0.6621678060138712,0.08031058311462402
ASTRA_AGF,200,13,0.729435579042051,1.1607255935668945
Coordinate_RF,200,13,0.7462033024357922,1.1363413333892822
EXP010,200,13,0.623291329872244,0.03138399124145508
EXPF,200,13,0.6658912895346208,0.1574404239654541
ASTRA_AGF,5,14,0.6563528115797383,0.662226676940918
Coordinate_RF,5,14,0.6580783533503717,0.6839568614959717
EXP010,5,14,0.599283015773387,0.026032209396362305
EXPF,5,14,0.5810600376621643,0.05137801170349121
ASTRA_AGF,25,14,0.6893072159485631,0.8007206916809082
Coordinate_RF,25,14,0.6963828738149087,0.8013439178466797
EXP010,25,14,0.6250942798829746,0.0268857479095459
EXPF,25,14,0.6612252370613578,0.08316516876220703
ASTRA_AGF,50,14,0.6965334352961844,0.9342453479766846
Coordinate_RF,50,14,0.7097589841555929,0.8459582328796387
EXP010,50,14,0.6175607269271439,0.03241753578186035
EXPF,50,14,0.6580011473540885,0.09201264381408691
ASTRA_AGF,100,14,0.7059823383035516,0.9148058891296387
Coordinate_RF,100,14,0.7211104917235627,0.9000251293182373
EXP010,100,14,0.6221953817374264,0.046805620193481445
EXPF,100,14,0.6545350299060406,0.08662104606628418
ASTRA_AGF,200,14,0.7324089196342999,1.1259937286376953
Coordinate_RF,200,14,0.7451971151450123,1.1159663200378418
EXP010,200,14,0.6216936426831658,0.0332028865814209
EXPF,200,14,0.6586314250165428,0.09269881248474121
ASTRA_AGF,5,15,0.6477364553470947,0.6468610763549805
Coordinate_RF,5,15,0.6505275175651427,0.6839988231658936
EXP010,5,15,0.6069950271932705,0.021748065948486328
EXPF,5,15,0.58412093678546,0.05161738395690918
ASTRA_AGF,25,15,0.6911502042262845,0.7826933860778809
Coordinate_RF,25,15,0.6935817280085321,0.8376684188842773
EXP010,25,15,0.6136612910410841,0.03876972198486328
EXPF,25,15,0.634624614461009,0.08993124961853027
ASTRA_AGF,50,15,0.7007579489669133,0.8947057723999023
Coordinate_RF,50,15,0.7098027843022623,0.8645765781402588
EXP010,50,15,0.6271364786894953,0.0355525016784668
EXPF,50,15,0.6541048925090729,0.09756088256835938
ASTRA_AGF,100,15,0.7166786380109106,0.9398453235626221
Coordinate_RF,100,15,0.7289924243956446,0.9505338668823242
EXP010,100,15,0.6295013147200257,0.027318477630615234
EXPF,100,15,0.6511298264715396,0.08484506607055664
ASTRA_AGF,200,15,0.7343190686034626,1.1200799942016602
Coordinate_RF,200,15,0.74431205203277,1.1287281513214111
EXP010,200,15,0.6251511253706205,0.029785871505737305
EXPF,200,15,0.6527403702307953,0.12674856185913086
ASTRA_AGF,5,16,0.6598441286057446,0.728442907333374
Coordinate_RF,5,16,0.6613093124869737,0.6889772415161133
EXP010,5,16,0.5245019426508797,0.032706499099731445
EXPF,5,16,0.644455892868926,0.06244659423828125
ASTRA_AGF,25,16,0.690178618915011,0.7857277393341064
Coordinate_RF,25,16,0.6988723972601317,0.7941813468933105
EXP010,25,16,0.5987406029941079,0.03875613212585449
EXPF,25,16,0.6350001397254693,0.10228490829467773
ASTRA_AGF,50,16,0.7064703698246413,0.8344082832336426
Coordinate_RF,50,16,0.7224044730538337,0.9048166275024414
EXP010,50,16,0.6035356410043354,0.03147482872009277
EXPF,50,16,0.6441424488212122,0.08400154113769531
ASTRA_AGF,100,16,0.7185075873912664,0.9540488719940186
Coordinate_RF,100,16,0.7374872743235898,0.9056961536407471
EXP010,100,16,0.5929224751485844,0.023681163787841797
EXPF,100,16,0.6481269175273292,0.08560538291931152
ASTRA_AGF,200,16,0.73659351124462,1.074805736541748
Coordinate_RF,200,16,0.750296647824678,1.1306684017181396
EXP010,200,16,0.6096829586278567,0.024669408798217773
